,m_max,nbins,projected_create_bins,projected_create_kernels,calc_ft_data,projected_create_Cm_coeffs,calc_zeta
29,9,3,0.0010506939999999076,0.05485449200000403,0.0011076020000047038,0.043930979000002424,0.1492647689999984
30,9,4,0.0011000880000011648,0.06956604399999833,0.0011123210000008044,0.05916705699999625,0.6010332600000012
31,9,5,0.0011650209999984895,0.09346727800000565,0.0011562850000004232,0.07024190699999622,1.4854262590000005
32,9,6,0.0011871730000052594,0.11100697799999892,0.001128131000001531,0.08333010800000551,2.9776635429999985
33,9,7,0.0016010690000030081,0.11764304300000106,0.0011338620000032051,0.10287110599999494,5.260143289999995
34,9,8,0.001341496999998526,0.15133924599999915,0.0011576870000027384,0.1305889839999992,8.380112816000008
35,10,2,0.0009932549999973617,0.047895604000004255,0.001307392000001073,0.036993272000003685,4.717000000198368e-05
36,10,3,0.0010103879999974197,0.06192359899999644,0.0013241030000017417,0.058362290000005146,0.18405990000000827
37,10,4,0.0010716439999924887,0.08377415100000007,0.001315876999996135,0.07567027899999346,0.7344406929999963
38,10,5,0.0011280810000044994,0.09249468100000513,0.0012337720000061836,0.09015400900000259,1.8298863700000112
39,10,6,0.0012412259999905473,0.11529689999998993,0.0011137129999951867,0.10529111900000032,3.702711248
40,10,7,0.0012963310000060346,0.13287077399999703,0.0011260469999996303,0.12940607800000237,6.478087305999992
41,10,8,0.0013715930000017806,0.14871366299999522,0.00117509000000382,0.14206607599999188,10.369290796000001
42,11,2,0.0009276509999978089,0.05093620499999929,0.0010671550000012076,0.03532014599998945,4.6999999995023245e-05
43,11,3,0.0010466770000050474,0.06950650100000644,0.0010964410000013913,0.05291984000000127,0.2260093980000022
44,11,4,0.0013869320000026164,0.09321175300000561,0.0010712930000096321,0.07213960899998995,0.8974578539999953
45,11,5,0.0011940670000001319,0.10466664300000161,0.0010759720000095285,0.08745609799998988,2.2391406219999936
46,11,6,0.0012511349999897448,0.12197613600000068,0.001073767999997699,0.10321432700000344,4.4912291589999995
47,11,7,0.001346445999999446,0.14035942799999646,0.001081844000012211,0.12055537999999899,7.895948558000001
48,11,8,0.0014792479999954367,0.15952537299999392,0.001084187000003567,0.1372767969999984,12.540135065000001
49,12,2,0.0009400240000019267,0.05682680600000367,0.0011100769999927707,0.03726388500000155,4.551600000013423e-05
50,12,3,0.0010546310000023595,0.07393136900000741,0.001154831999997441,0.06371879600000341,0.26841928000000337
51,12,4,0.0010928439999986495,0.09954692600000214,0.0010781360000038376,0.07649062600000889,1.073896499
52,12,5,0.0011732669999986456,0.11389623099999824,0.0010662040000113393,0.09328370000000064,2.6954947870000012
53,12,6,0.0012563049999982923,0.1338362270000033,0.0010594209999936766,0.11211939899999379,5.375526103000013
54,12,7,0.001437958999986222,0.15360074899999177,0.001062285999978485,0.1306863979999946,9.405242686999998
55,12,8,0.0016837449999798082,0.1735265479999839,0.001067234999993616,0.14826656500000013,15.069117796
